listing_id,url,district,price,area_sqm,rooms,predicted_annual_rent,expected_yield_pct
6738487,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-المندق-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6738487,حي ظهرة لبن,820000.0,165.0,4.0,54354.26160113036,6.63
6661683,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-خلف-الأحمر-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6661683,حي المهدية,750000.0,139.0,3.0,49737.94317881193,6.63
6676744,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالقادر-الجزائري-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6676744,حي الدار البيضاء,570000.0,187.0,4.0,37784.06180393684,6.63
6614880,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-أبي-يعلى-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6614880,حي المهدية,800000.0,117.0,6.0,53012.968198468196,6.63
6666190,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-محمد-بن-عبدالعزيز-الدغيثر-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6666190,حي الملقا,1280000.0,143.0,2.0,84894.41347446079,6.63
6757621,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-شهيد-الدين-ثم-الوطن-يحيى-محمد-يحيى-الش-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6757621,حي القيروان,900000.0,115.0,2.0,59643.737697210214,6.63
6762782,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-علي-بن-عبدالله-النميري-حي-ظهرة-البديعة-مدينة-الرياض-منطقة-الرياض-6762782,حي ظهرة البديعة,600000.0,110.0,3.0,39804.100668590676,6.63
6722725,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابن-عبدالجبار-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6722725,حي النسيم الشرقي,650000.0,123.0,3.0,43074.08357753358,6.63
6710766,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/حي-النرجس-مدينة-الرياض-منطقة-الرياض-6710766,حي النرجس,1050000.0,123.0,3.0,69586.99203044,6.63
6571966,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الحجلة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6571966,حي بدر,490000.0,134.0,4.0,32475.328876678886,6.63
