listing_id,url,district,rooms,price,area_sqm,expected_annual_rent_sakani,sakani_deals_count,sakani_trusted,expected_yield_pct_sakani,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,price_ratio,verdict_price
6487972,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-هجر-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6487972,حي الملقا,4.0,938000.0,125.0,58100,924,True,6.19,7504,146,9010.0,0.83,🟢 سعر عادل
6820894,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-605-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6820894,حي الرمال,4.0,550000.0,86.0,33800,867,True,6.15,6395,140,6065.0,1.05,🟢 سعر عادل
6441325,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-تميم-الجرجاني-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6441325,حي الرمال,4.0,550000.0,77.0,33800,867,True,6.15,7143,98,6644.0,1.08,🟢 سعر عادل
6722572,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-الحسين-بن-رواحة-حي-الرمال-الرياض-منطقة-الرياض-6722572,حي الرمال,3.0,490000.0,281.0,30100,3400,True,6.14,1744,25,4714.0,0.37,🔴 REVIEW
6477995,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-احمد-بن-هارون-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6477995,حي الرمال,3.0,490000.0,77.0,30100,3400,True,6.14,6364,98,6644.0,0.96,🟢 سعر عادل
6427313,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-القادسية-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6427313,حي الياسمين,4.0,900000.0,137.0,55200,457,True,6.13,6569,128,7474.0,0.88,🟢 سعر عادل
6481392,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-القادسية-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6481392,حي الياسمين,4.0,900000.0,137.0,55200,457,True,6.13,6569,128,7474.0,0.88,🟢 سعر عادل
6431068,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-القادسية-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6431068,حي الياسمين,4.0,900000.0,137.0,55200,457,True,6.13,6569,128,7474.0,0.88,🟢 سعر عادل
6814760,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الدهناء-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6814760,حي الملقا,4.0,950000.0,125.0,58100,924,True,6.12,7600,146,9010.0,0.84,🟢 سعر عادل
6693029,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-عبدالله-بن-شهيوين-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6693029,حي الملقا,4.0,950000.0,128.0,58100,924,True,6.12,7422,147,9010.0,0.82,🟢 سعر عادل
6805796,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-شعيب-المغربي-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6805796,حي النرجس,3.0,850000.0,120.0,52000,2100,True,6.12,7083,583,8477.0,0.84,🟢 سعر عادل
6783116,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-محمد-المنفلوطي-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6783116,حي النرجس,2.0,750000.0,85.0,45700,861,True,6.09,8824,120,9628.0,0.92,🟢 سعر عادل
6569970,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحسو-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6569970,حي الملقا,3.0,900000.0,119.0,54800,1400,True,6.09,7563,143,9133.0,0.83,🟢 سعر عادل
6649176,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-العمرة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6649176,حي الملقا,3.0,900000.0,120.0,54800,1400,True,6.09,7500,141,9113.0,0.82,🟢 سعر عادل
6588333,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحلوة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6588333,حي الملقا,3.0,900000.0,94.0,54800,1400,True,6.09,9574,49,9260.0,1.03,🟢 سعر عادل
6768831,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-طريق-الملك-فهد-الفرعي-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6768831,حي الملقا,3.0,900000.0,94.0,54800,1400,True,6.09,9574,49,9260.0,1.03,🟢 سعر عادل
6745497,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الدهناء-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6745497,حي الملقا,3.0,900000.0,125.0,54800,1400,True,6.09,7200,146,9010.0,0.8,🟢 سعر عادل
6750455,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الدهناء-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6750455,حي الملقا,3.0,900000.0,175.0,54800,1400,True,6.09,5143,79,8153.0,0.63,🟢 سعر عادل
