listing_id,url,district,price,area_sqm,price_per_sqm,rent_low,rent_mid,rent_high,yield_low_pct,yield_mid_pct,yield_high_pct,net_yield_low_pct,strengths,risks,verdict,verdict_reason
6745288,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الربيع/شارع-ابي-بن-معاذ-الانصاري-حي-الربيع-مدينة-الرياض-منطقة-الرياض-6745288,حي الربيع,900000.0,138.0,6522.0,75818,107866,133333,8.42,11.99,14.81,7.08,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6506192,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6506192,حي الدار البيضاء,390000.0,127.0,3071.0,32750,40667,49803,8.4,10.43,12.77,7.05,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6774154,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الصهيد-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6774154,حي الصفا,550000.0,105.37,5220.0,46000,61071,86986,8.36,11.1,15.82,7.03,يوجد مصعد | قريب من محطة مترو | خزانات مياه مستقلة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6731088,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6731088,حي الرمال,630000.0,124.0,5081.0,52657,62112,67470,8.36,9.86,10.71,7.02,خزانات مياه مستقلة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6768333,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6768333,حي الرمال,630000.0,124.0,5081.0,52657,62112,67470,8.36,9.86,10.71,7.02,يوجد مصعد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6731348,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6731348,حي الرمال,639000.0,90.0,7100.0,53100,62800,66000,8.31,9.83,10.33,6.98,خزانات مياه مستقلة | تشطيبات حديثة مذكورة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6774586,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6774586,حي الرمال,639000.0,90.0,7100.0,53100,62800,66000,8.31,9.83,10.33,6.98,يوجد موقف سيارة | خزانات مياه مستقلة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6752800,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6752800,حي الرمال,639000.0,90.0,7100.0,53100,62800,66000,8.31,9.83,10.33,6.98,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6356129,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-خليفه-ابن-حمد-آل-ثاني-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6356129,حي الجنادرية,450000.0,168.0,2679.0,37329,50789,62172,8.3,11.29,13.82,6.97,يوجد مصعد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6781342,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-عمر-بن-حبيب-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6781342,حي الجنادرية,400000.0,90.0,4444.0,33082,36693,42290,8.27,9.17,10.57,6.95,يوجد مصعد | تشطيبات حديثة مذكورة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
