listing_id,url,status,first_seen,last_seen
6587396,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-نجران-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6587396,جديد,2026-07-26,2026-07-26
6757293,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-بريدة-حي-الريان-مدينة-الرياض-منطقة-الرياض-6757293,جديد,2026-07-26,2026-07-26
6580476,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-إبراهيم-الكوارني-حي-البيان-مدينة-الرياض-منطقة-الرياض-6580476,جديد,2026-07-26,2026-07-26
6784906,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الأمير-عبدالعزيز-بن-محمد-بن-عياف-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6784906,جديد,2026-07-26,2026-07-26
6324260,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالله-المويس-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6324260,جديد,2026-07-26,2026-07-26
6645490,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-عبدالله-بن-دخيل-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6645490,جديد,2026-07-26,2026-07-26
6785844,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-علقمة-بن-وائل-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6785844,جديد,2026-07-26,2026-07-26
6464840,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-تركي-بن-احمد-السديري-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6464840,جديد,2026-07-26,2026-07-26
6570484,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عوضه-محمد-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6570484,جديد,2026-07-26,2026-07-26
6662751,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6662751,جديد,2026-07-26,2026-07-26
6462116,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القياس-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6462116,جديد,2026-07-26,2026-07-26
6699892,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-36-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6699892,جديد,2026-07-26,2026-07-26
6451842,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الميسمية-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6451842,جديد,2026-07-26,2026-07-26
6624826,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6624826,جديد,2026-07-26,2026-07-26
6609080,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-ام-عمارة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6609080,جديد,2026-07-26,2026-07-26
6365755,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-عروة-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6365755,جديد,2026-07-26,2026-07-26
6429830,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-إسماعيل-القسط-حي-طويق-مدينة-الرياض-منطقة-الرياض-6429830,جديد,2026-07-26,2026-07-26
6482753,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-سلطان-بن-نمر-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6482753,جديد,2026-07-26,2026-07-26
6560190,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-الحارث-بن-سليل-حي-العارض-مدينة-الرياض-منطقة-الرياض-6560190,جديد,2026-07-26,2026-07-26
6526607,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-الغمار-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6526607,جديد,2026-07-26,2026-07-26
6557999,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-هاشم-بن-عمار-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6557999,جديد,2026-07-26,2026-07-26
6672069,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الحمراء/شارع-الحياة-حي-الحمراء-مدينة-الرياض-منطقة-الرياض-6672069,جديد,2026-07-26,2026-07-26
6681680,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحماسين-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6681680,جديد,2026-07-26,2026-07-26
6611838,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-هاجر-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6611838,جديد,2026-07-26,2026-07-26
6573160,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-ام-عمارة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6573160,جديد,2026-07-26,2026-07-26
6671097,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-يونس-الهاشمي-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6671097,جديد,2026-07-26,2026-07-26
6763043,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-الصدق-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6763043,جديد,2026-07-26,2026-07-26
6728188,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-المهاب-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6728188,جديد,2026-07-26,2026-07-26
6490023,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الصحابة-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6490023,جديد,2026-07-26,2026-07-26
6558686,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-أحمد-بن-عمرو-بن-السرح-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6558686,جديد,2026-07-26,2026-07-26
6474554,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-محمد-بن-حمد-بن-فارس-حي-النرجس-الرياض-منطقة-الرياض-6474554,جديد,2026-07-26,2026-07-26
6534653,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-الوصابي-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6534653,جديد,2026-07-26,2026-07-26
6638817,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-رقم-93-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6638817,جديد,2026-07-26,2026-07-26
6587124,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/حي-المهدية-مدينة-الرياض-منطقة-الرياض-6587124,جديد,2026-07-26,2026-07-26
6662243,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الندى/شارع-القرينات-حي-الندى-مدينة-الرياض-منطقة-الرياض-6662243,جديد,2026-07-26,2026-07-26
6546677,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-وعلة-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6546677,جديد,2026-07-26,2026-07-26
