listing_id,url,title,district,direction,price,area_sqm,rooms,bathrooms,age_years,actual_annual_rent,yield_pct,rent_extraction_note,is_duplicate_listing,duplicate_group_size,description
6468256,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-عسفان-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6468256,"شقة للبيع في شارع عسفان, حي النرجس, مدينة الرياض, منطقة الرياض",حي النرجس,شمال الرياض,985000.0,165.0,4.0,2.0,4.0,52000.0,5.28,إيجار سنوي صريح,False,1,"(للـبيع شـقـة تمليك   )*

*-الموقع :* موقع مميز حي النرجس بالقرب من جميع الخدمات
-الواجهة: شمالية.
-شارع عرض 30م .
-المساحة : 165.94م2.                                                                                                                                                  
*الشقة بالدور الأول.
*عمر العقار 4 سنوات.

-الشقة مكونه من : 
-عدد 3 غرف نوم.
-مجلس.
-صالة.
-عدد 3 دوراة مياه.
-غرفة غسيل .
-مطبخ  .
-مكيفات راكبه.
-موقف خاص.

-ملاحظة: الشقة مؤجرة بعقد سنوي بقيمة (52.000ريال ).

*خدمات العمارة :
-مصعد.
-يوجد اتحاد ملاك على حراسة العمارة وخدمة السكان.
_السعر:  (985.000ريال)  .

تخصصنا: إدارة أملاك -بيع -تأجير

يوجد أراضي وفلل وشقق تمليك للبيع 
 
يسرنا نحن بصمة المنفذون للعقارات ..........

* استقبال عروضكم وطلباتكم * 

* نتشرف بخدمتكم وتعاملكم *

 للتواصل والاستفسار
 
ج/ ((رقم المعلن يظهر عند التواصل))
ج/((رقم المعلن يظهر عند التواصل))
.................................................."
6539324,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أبي-الحسن-الرشيدي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6539324,"شقة للبيع في شارع أبي الحسن الرشيدي, حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,شرق الرياض,950000.0,115.0,4.0,3.0,1.0,50000.0,5.26,إيجار سنوي صريح,False,1,"للبيع شقة فاخرة قريبة من طريق الثمامة

*مميزات الشقة: ⭐️
- مساحتها: ١١٥م (شامل الاجزاء الخاصة)
- ⁠ثلاث غرف نوم وحده منها ماستر
- ⁠صالة
- ⁠دورتين مياه
- ⁠حوش
- ⁠شقة سمارت انارة ذكية دخول ذكي بالبصمة او البطاقة


*مميزات العمارة: ⭐️
- لاونج ضيافة خاص للسكان
- ⁠نادي رياضي GYM
- ⁠مسبح
- ⁠حاضنة اطفال
- ⁠موقف خاص بالقبو
- ⁠كاميرات مراقبة 
- ⁠دخول ذكي خاص لسكان العمارة
- ⁠مداخل العمارة مكيفه 
- ⁠نظام تعطير خاص للممرات

*مميزات اضافية:
- قريبة من جامعة الاميرة نورة ١٨ دقيقة تقريباً
- ⁠قريبة من جامعة الامام ١٦ دقيقة تقريباً
- ⁠قريبة من واجهة روشن ١٤ دقيقة تقريباً
- ⁠قريبة من مطار الملك خالد ٢١ دقيقة تقريباً

https://maps.app.goo.gl/VP6m6tsuw8Af583u6

مؤجرة ب ٥٠ ألف ريال
ينتهي العقد يناير ٢٠٢٧م

سعر البيع مليون ريال شامل فك رهن البنكي"
6463207,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الحمراء/شارع-البحار-حي-الحمراء-الرياض-منطقة-الرياض-6463207,"شقة للبيع في شارع البحار, حي الحمراء, مدينة الرياض, منطقة الرياض",حي الحمراء,شرق الرياض,950000.0,181.0,5.0,3.0,11.0,50000.0,5.26,إيجار سنوي صريح,False,1,"للبيع شقه في حي الحمراء
جنبها جميع الخدمات مسجد وحديقه جميع الخدمات بقالة ٢٤ ساعة و مغسلة ملابس و كوافير وحلاق و محل ورد و مكتبة خدمات طالب و محل خضار . 
المساحه 181
على شارعين 
عمر العماره 14 سنه
العماره فيها 2 مصعد
عرض الشارع 30 متر
الواجهة غربية

البيع لازم كاش عليه رهن للبنك الراجحي
البيع بالاثاث
الدور الثاني
3 غرف نوم و احدة منها بحمام 
صالة كبيرة 
مطبخ مع مخزن داخله
مقلط 
مجلس 
حوش داخلي 
دورات المياه 3 و حد منهم الي داخل الغرفة الماستر
 5 غرف
صالة
 3 دورات مياه





الشقة مؤجرة بعقد  الكتروني سنوي  ٥٠ الف ريال"
6841787,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-جاكارتا-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6841787,"شقة للبيع في شارع جاكارتا, حي الصحافة, مدينة الرياض, منطقة الرياض",حي الصحافة,شمال الرياض,950000.0,159.0,3.0,0.0,0.0,50000.0,5.26,إيجار سنوي صريح,False,1,"شقة غير مؤثثة في حي الياسمين
مساحتها 159,12
صالتين
غرفتين نوم وحدة منهم ماستر
مطبخ كبير
مخزن
سطح خاص كبير
الشقة مؤجرة ب ٥٠ الف سنويا ولا يمكن معاينتها الشقة عليها رهن
التواصل ((الرقم يظهر عند الضغط على اتصال))"
6822895,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الخيالة-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6822895,"شقة للبيع في شارع الخيالة, حي الياسمين, مدينة الرياض, منطقة الرياض",حي الياسمين,شمال الرياض,950000.0,159.0,3.0,2.0,0.0,50000.0,5.26,إيجار سنوي صريح,False,1,"شقة غير مؤثثة في حي الياسمين
مساحتها 109
صالة
مجلس 
غرفتين نوم وحدة منهم ماستر
مطبخ كبير
مخزن
سطح خاص كبير
الشقة مؤجرة ب ٥٠ الف سنويا ولا يمكن معاينتها الشقة عليها رهن
البيع ٩٥٠ الف"
6826379,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الخيالة-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6826379,"شقة للبيع في شارع الخيالة, حي الياسمين, مدينة الرياض, منطقة الرياض",حي الياسمين,شمال الرياض,950000.0,159.0,2.0,,2.0,50000.0,5.26,إيجار سنوي صريح,False,1,"شقة غير مؤثثة في حي الياسمين
مساحتها 159
صالتين
غرفتين نوم وحدة منهم ماستر
مطبخ كبير
مخزن
سطح خاص كبير
الشقة مؤجرة ب ٥٠ الف سنويا ولا يمكن معاينتها الشقة عليها رهن
البيع 950الف 
ح..... م...... ز
ة"
6827544,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-محمد-علي-جناح-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6827544,"شقة للبيع في شارع محمد علي جناح, حي اليرموك, مدينة الرياض, منطقة الرياض",حي اليرموك,شرق الرياض,950000.0,197.0,4.0,3.0,10.0,50000.0,5.26,إيجار سنوي صريح,False,1,"للبيع شقة استثمارية بحي الرشد

📍 قريبة من محطة المترو وشارع الحسن

🏠 المساحة: 197م²

* 5 غرف: مجلس، مقلط، و3 غرف داخلية
* صالة ومطبخ
* 3 حمامات
* الدور الثاني
* مصعد بالعمارة
* مدخلين للشقة
* المكيفات والمطبخ خاصة بالمستأجر
* المكيفات أسبلت
* مواقف على الشارع الرئيسي

💰 الدخل السنوي: 50,000 ريال
💵 سعر البيع: 950,000 ريال

📌 مؤجرة بعقد سنوي، والدفع شهري.

للمفاهمة والمشاهدة يرجى التواصل

0  5  3  3  0  2  2  2  4  4"
6841866,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-جاكارتا-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6841866,"شقة للبيع في شارع جاكارتا, حي الصحافة, مدينة الرياض, منطقة الرياض",حي الصحافة,شمال الرياض,950000.0,159.0,3.0,,0.0,50000.0,5.26,إيجار سنوي صريح,False,1,"شقة غير مؤثثة في حي الياسمين
مساحتها 109
صالتين
غرفتين نوم وحدة منهم ماستر
مطبخ كبير
مخزن
سطح خاص كبير
الشقة مؤجرة ب ٥٠ الف سنويا ولا يمكن معاينتها الشقة عليها رهن"
6834776,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الأمير-فهد-بن-محمد-بن-عبدالعزيز-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6834776,"شقة للبيع في شارع الأمير فهد بن محمد بن عبدالعزيز, حي الملقا, مدينة الرياض, منطقة الرياض",حي الملقا,شمال الرياض,1900000.0,298.59,3.0,3.0,2.0,100000.0,5.26,إيجار سنوي صريح,False,1,"فرصة استثمارية مميزة في مجمع المجدية السكني، حيتين، الرياض.

شقة فسيحة بثلاث غرف نوم مؤجرة حاليًا بعائد إيجاري سنوي قدره 100,000 ريال سعودي، مما يوفر للمشتري دخلًا فوريًا من عقار سكني قائم.

تقع الشقة في الطابق الثالث، بمساحة إجمالية رحبة تبلغ حوالي 298.59 مترًا مربعًا، وتتميز بتصميم عملي يوفر معيشة عائلية مريحة. يتصل المجلس المفتوح بسلاسة مع غرفة المعيشة الرئيسية، مما يخلق بيئة واسعة وجذابة.

ميزات العقار:

• مؤجرة حاليًا بعائد إيجاري سنوي قدره 100,000 ريال سعودي
• ثلاث غرف نوم فسيحة
• ثلاثة حمامات
• مجلس مفتوح على غرفة المعيشة
• مطبخ مجهز
• تراس خاص على السطح
• شرفة خاصة
• مكيفات هواء
• موقف سيارات خارجي
• تقع في الطابق الثالث
• المساحة الإجمالية: حوالي 298.59 مترًا مربعًا

فرصة استثمارية استثنائية للمستثمرين الباحثين عن عقار سكني مؤجر في حيتين بعائد سنوي ثابت.

للحصول على مزيد من المعلومات حول العقار وعقد الإيجار الحالي، يرجى التواصل معنا."
6768207,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-السرح-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6768207,"شقة للبيع في شارع أحمد بن السرح, حي المهدية, مدينة الرياض, منطقة الرياض",حي المهدية,غرب الرياض,760000.0,110.0,2.0,3.0,2.0,40000.0,5.26,إيجار سنوي صريح,False,1,"━━━━━━━━━━━━━━━━━━
🏡✨ شقة استثمارية للبيع – حي المهدية ✨
━━━━━━━━━━━━━━━━━━

📍 الموقع: حي المهدية
📐 المساحة: 110 م²
🏢 الدور: الأول

🔹 تفاصيل الشقة:
• غرفتين نوم
• صالة واسعة
• مجلس
• 3 دورات مياه
• موقف خاص 🚗

💰 ميزة استثمارية قوية:
✔ الشقة مؤجرة حاليًا بـ 40,000 ريال سنويًا
✔ العقد ينتهي بعد شهرين مع نية التجديد
✔ عمر العقار فقط سنتين (شبه جديد)

💵 السعر: 760,000 ريال

🔥 فرصة مميزة للسكن أو الاستثمار بعائد قوي في موقع مطلوب

📞 للتواصل: ((الرقم يظهر عند الضغط على اتصال))
📜 رخصة فال: 1100307432
📢 رقم الترخيص الإعلاني: 7100298501
━━━━━━━━━━━━━━━━━"
